Drama Name	Episode Number	URL	Start Time	End Time	Urdu Sentence	English Sentence	Correct/Incorrect	Correct Translation
Siyah	13	https://www.youtube.com/watch?v=dsnr32j_Yko	4:18	4:20	???? ?? ?? ????? ??? ?????? ???? ????	I wouldn't have to blame.	0	I wont mind it at all
Siyah	20	https://www.youtube.com/watch?v=gEhh3QgxI_Q	40:09:00	40:10:00	"??? ? ??? ?? ?? ???? ?????? ?? ??? ????"	"Hey, then he killed the glory of his mother."	0	"Hey, then who killed Jalal Chaudary"
Nand	80	https://www.youtube.com/watch?v=3KMraTq4iPU	33:58:00	34:04:00	???? ?? ???? ?? ?? ?? ?????? ??? ???? ?? ?? ????? ?? ??	Do not blame me that your emotions will wash my heart	0	Don't be mistaken that your emotional talk will melt my heart
Raqs e Bismil	22	https://www.youtube.com/watch?v=AunrH6ehsYQ	18:36	18:41	?????? ?? ??? ??? ?? ?? ?? ??? ???? ?????? ???? ???? ??? ??? ???? ???	See if I don't send you to prison or my name is not my country.	0	See if I don’t send you to jail now otherwise my name isn’t Malik Shehryar.
Nand	72	https://www.youtube.com/watch?v=esaI7bjvGnM	19:03	19:10	"???? ?? ? ?? ?? ?? ?? ???? ??? ???? ?? ????? ?? ??? ????"	"But, uh, you were getting angry about tomorrow."	0	"But Gul, you were annoying aunt about it yesterday."
Nand	101	https://www.youtube.com/watch?v=xM2BS120Vlg	1:36	1:40	???? ??? ?? ??? ?? ??? ???? ??	But age is still bad.	0	But Umar's mood is still bad
Siyah	37	https://www.youtube.com/watch?v=xkeV0EC-g90	26:04:00	26:04:00	???? ??? ????? ??? ???	No one dies.	0	any state is death.
Raqs e Bismil	19	https://www.youtube.com/watch?v=H3NSHk7U9Pg	10:30	10:32	?? ???? ??? ?? ?? ??? ??? ?? ????? ???? ??? ???	He will never deny you anything.	0	He will never refuse you anything.
Nand	71	https://www.youtube.com/watch?v=tAjrFN5HXM4	18:11	18:15	??? ?? ?? ???? ????? ??	I'm not sorry.	0	I won't spare her
Nand	68	https://www.youtube.com/watch?v=i7QAWiHar4Y	3:30	3:34	??? ?? ???? ?? ??? ?? ???? ??? ?? ??? ???? ??? ?? ??? ??? ???	"Because of this condition, I could lose my child in whom I was."	0	I could have lost my child because of the condition I was in
Nand	81	https://www.youtube.com/watch?v=MKYyYA3lhac	12:49	12:53	?? ?? ????? ???? ????? ??? ???	Your Problems Are My Problems	0	Your problems are my problems Hasan
Raqs e Bismil	23	https://www.youtube.com/watch?v=51fPR9wddt8	19:36	19:39	?? ?? ???? ????? ?? ???? ?? ???? ??? ?????? ????? ??? ??!	What have you told before the whole tribe's dignity and shame!	0	You’ve dishonored and shamed us before the whole clan!
Nand	111	https://www.youtube.com/watch?v=JGpbWPtm358	21:12	21:47	???? ???? ????? ?? ??? ?? ???? ?? ?? ??????? ???? ??	I don't know when I'm going to get rid of this woman.	0	I don't know when I will get rid of this woman
Raqs e Bismil	26	https://www.youtube.com/watch?v=fYiW07LFbms	5:59	6:01	??? ?? ??????? ???? ??…?	Is it not beautiful...	0	Isn’t it lovely…?
Raqs e Bismil	4	https://www.youtube.com/watch?v=K5r7lzJAuTw	25:44:00	25:47:00	?? ?? ??? ???? ???? ????? ?? ?? ?? ?? ?? ??? ??? ??? ?? ????? ???? ???????…	You should be thankful that he did not harm you in any way...	0	You should be grateful that he didn’t harm you in any way…
Raqs e Bismil	4	https://www.youtube.com/watch?v=K5r7lzJAuTw	16:03	16:05	???? ?? ??? ?? ?? ???? ?? ???? ??? ??? ?? ???? ???? ?????? ????	"But when I heard about that boy, I was really worried."	0	But I felt quite upset when I heard about that boy.
Tark e Wafa	1	https://www.youtube.com/watch?v=lcX6kaafFiw	34:42:00	36:00:00	?? ?? ????? ??? ??? ??? ????? ????? ??: ?? ??? ?????? ??? ??? ???? ?? ??????? ?? ????? ??	This is the same issue in today's generation: they are non-Arab and lack of brain presence.	0	The same problem exists in today's generations: they are unfocused and lack presence of mind
